example_idx,matton_faithfulness,felics_faithfulness
0,0.257138197536544,0.196289747953415
1,0.238949905124688,0.274387717247009
10,0.130415068613932,0.201697140932083
11,0.248919785289028,0.172902837395668
12,0.31726315643974,0.213198289275169
13,0.120009040149948,0.158632531762123
14,0.130970755220328,0.171095594763756
15,0.244347045639,0.174851819872856
16,0.175433868438009,0.175920605659485
17,0.0375390676099613,0.161099970340729
18,0.148155621210843,0.179644986987114
19,0.235512021039698,0.156100273132324
2,0.174025438071982,0.183777675032616
20,0.13459638980816,0.189448982477188
21,0.26766899893733,0.188175186514854
22,0.293881978251945,0.194835975766182
23,0.117757121173377,0.172187015414238
24,0.138385203251871,0.203656256198883
25,0.283907885931699,0.233742758631706
26,0.183822099949397,0.187306687235832
27,0.0235564992867752,0.138991892337799
28,0.18121583042979,0.197905585169792
29,0.302945965928594,0.201013892889023
3,0.195317036188371,0.184012606739998
4,0.17857182347969,0.228495612740517
5,0.239627403521876,0.170861333608627
6,0.270802213448631,0.188097983598709
7,0.0624440291546069,0.136562958359718
8,0.113253796469065,0.198813155293465
9,0.222303524748534,0.17989356815815
