example_idx,matton_faithfulness,felics_faithfulness
0,0.0073198985708513,-0.0535285510122776
1,-0.196064029845214,-0.160626217722893
10,0.0956949607009151,0.166977033019066
11,0.11442092460201,0.0384039767086506
12,0.0187064411897249,-0.0853584259748459
13,-0.106378237095573,-0.0677547454833984
14,-0.0973189234724896,-0.0571940839290619
15,-0.0687252632589726,-0.138220489025116
16,0.0388496051430737,0.0393363423645496
17,0.049225124462302,0.172786027193069
18,0.102429500738888,0.13391886651516
19,0.319115879987451,0.239704132080078
2,0.146988383771674,0.156740620732307
20,-0.191567080936927,-0.136714488267899
21,-0.0816635273888492,-0.161157339811325
22,0.40871874556781,0.309672743082047
23,-0.160747466536526,-0.106317572295666
24,-0.245069551696745,-0.179798498749733
25,-0.102223162270815,-0.152388289570808
26,-0.211370374177419,-0.207885786890984
27,-0.207494513586874,-0.0920591205358505
28,-0.143898807183506,-0.127209052443504
29,0.107533508007984,0.00560143496841192
3,-0.0641735655300546,-0.0754779949784279
4,-0.185840156434021,-0.135916367173195
5,0.278192532563547,0.209426462650299
6,-0.0570353282507782,-0.1397395581007
7,-0.25387306719797,-0.179754137992859
8,-0.272696947683004,-0.187137588858604
9,0.0345965308557454,-0.00781342573463917
