example_idx,matton_ce,felics_ce
0,0.15286502156717077,0.5779479965567589
1,0.04301980161108072,0.9207592407862345
2,0.15119163179770106,0.5193796046078205
3,0.0264665929911037,1.0292203078667324
4,0.1504785702951873,0.7590688616037369
5,0.17688497772905976,0.36416362784802914
6,0.02145597835381822,0.7168912130097548
7,0.02363985051245735,0.7106489017605782
8,0.15458034910261625,0.6856204308569431
9,0.1202577469327176,0.5142188419898351
10,0.14251483740129814,0.40356338893373805
11,0.024367630442914817,0.549686019619306
12,0.023572687796937875,0.3764508093396822
13,0.05981692004327969,1.0214016487201054
14,0.02593109752827629,0.760204866528511
15,0.0444790604912365,0.7368818745017052
16,0.11002374463714654,0.48946339885393775
17,0.12450250121764833,0.3674801091353098
18,0.14245044742710886,0.35109119862318033
19,0.062103208309660304,0.44396040712793666
20,0.02245398575905705,0.7098822742700577
21,0.06648340898876386,0.7518781274557114
22,0.17025838163681326,0.41510777672131854
23,0.026145933351168982,0.5478969266017278
24,0.02379964590848729,0.9146618706484636
25,0.023763843152361557,0.5229814499616623
26,0.15313289838377384,0.3168331794440746
27,0.023826795979402907,0.9708340267340342
28,0.10024124434373027,0.5286549453934034
29,0.14869196581033367,0.4850913919508457
