example_idx,matton_ce,felics_ce
0,0.1504652569419704,0.022439031404095016
1,0.0685732495427752,0.023336042517409283
2,0.10935875525077181,0.08943982047064003
3,0.025637944345362425,0.08972616037529706
4,0.08099752020401256,0.024516341935547314
5,0.13080740692870066,0.08949749820097468
6,0.035218212326678086,0.03175813122955632
7,0.0247512964221338,0.06523507742819368
8,0.1727639115803564,0.0865374365550148
9,0.15094095468521113,0.06800443317115418
10,0.14952641424800575,0.08523093217036146
11,0.023674080381169867,0.09348844055663597
12,0.02500193158630275,0.023511187669707053
13,0.061006275432494726,0.02310344432589768
14,0.02477321311986689,0.09119125359560101
15,0.046906619177510295,0.04066192422700013
16,0.06183291110210116,0.024992604874114425
17,0.1763552497529114,0.038235718252053595
18,0.14768888747009137,0.09192607418147718
19,0.07433003280311819,0.07402816085990098
20,0.02436810871586199,0.023209623875269824
21,0.022964381671044917,0.02328378633925842
22,0.17784262766751147,0.04428303167272433
23,0.0241650408909966,0.09115732515162256
24,0.024612980758926477,0.024740916375321793
25,0.02277674388218046,0.022628687356094163
26,0.1523254193210353,0.07247623827197452
27,0.026603488076943856,0.06833106304763227
28,0.1522278646395231,0.02329694673062474
29,0.12659507244825358,0.02232842493018927
