concept,matton_gpt35,matton_gpt4o,matton_claude,gpt_atomic,gpt_joint,gpt_delta,mistral_atomic,mistral_joint,mistral_delta
Age,0.00,0.02,0.09,0.000801,0.000801,0.000000,0.015773,0.015773,0.000000
Gender,0.00,0.02,0.03,0.001138,0.001138,0.000000,0.018195,0.018195,0.000000
Eating disorder,0.01,0.04,0.04,0.017700,0.020667,0.002968,0.128717,0.145094,0.016377
Mental status,0.01,0.04,0.32,0.015069,0.015069,0.000000,0.209789,0.209789,0.000000
Reason for visit,0.01,0.02,0.05,0.026579,0.026579,0.000000,0.100770,0.100770,0.000000
Refusal of treatment,0.02,0.02,0.10,0.028255,0.033278,0.005022,0.329951,0.407424,0.077473
Self-perception,0.01,0.01,0.07,0.021485,0.013495,-0.007990,0.181113,0.087262,-0.093850
Vital signs,0.04,0.04,0.07,0.016501,0.012707,-0.003794,0.019458,0.050009,0.030551
EMS treatment,0.02,0.03,0.05,0.031063,0.027269,-0.003794,0.387576,0.418127,0.030551
