concept_id,concept,gpt_atomic,gpt_joint,mistral_atomic,mistral_joint
1,Age,8.011796162463e-4,8.011796162463e-4,0.0157727859914302,0.0157727859914302
2,Gender,0.0011380823561921,0.0011380823561921,0.0181948915123939,0.0181948915123939
3,Eating disorder,0.0176996700465679,0.0293940570530421,0.12871715426445,0.14543102482609874
4,Mental status,0.0150692667812109,0.0150692667812109,0.2097889631986618,0.2097889631986618
5,Reason for visit,0.026579113677144,0.026579113677144,0.1007702648639679,0.1007702648639679
6,Refusal of treatment,0.0282554179430007,0.04218408043328275,0.3299510776996612,0.4004285932515361
7,Self-perception,0.0214849412441253,0.01663790652240694,0.1811127513647079,0.03290470134222594
8,Vital signs,0.0165009498596191,0.01154230912828809,0.0194578506052494,0.04964780478922978
9,EMS treatment,0.0310632567852735,0.02610461605394249,0.3875758945941925,0.4177658487781729
