observation_id,example_idx,concept_index,raw_ce,adjusted_ce
1,0,1,0.14618074893951416,0.36972272857488125
2,0,2,0.1383293122053146,0.46037113066595114
3,0,3,0.34460486471652985,0.5455618902336039
4,0,4,0.321877325574557,0.6195586113668149
5,0,5,0.16867796579996744,0.5042661195387963
6,0,6,0.2759903619686762,0.5780161099810678
7,0,7,0.2703856031099955,0.6523699213840299
8,0,8,0.12840202699104944,0.4158867120531925
9,0,9,0.15648792932430905,0.4876082555418379
10,0,10,0.00110556185245512,0.03458982471954992
11,0,11,0.3767594844102859,0.4102437472773808
12,0,12,0.5427684783935547,0.5427684783935547
13,1,1,0.152537760635217,0.23136843348825029
14,1,2,0.02249855299790698,0.02301823929759418
15,1,3,0.2525152241190275,0.5451939633829536
16,1,4,-0.02544454733530683,-0.10722383791005356
17,1,5,0.0784619649251302,0.2701883334343961
18,1,6,0.09149623413880664,0.2059049009506257
19,1,7,0.12648520867029825,0.3196437046286076
20,1,8,0.1273803363243739,0.29732341850664257
21,1,9,0.02591838936010995,0.17055321869017465
22,1,10,0.23186578601598745,0.3677183042557201
23,1,11,0.0906710401177406,0.2265235583574733
24,1,12,0.3721957802772522,0.3721957802772522
25,2,1,-0.02046862244606022,0.3007045450536908
26,2,2,0.2051093429327011,0.5439746149414759
27,2,3,0.2398270219564438,0.3526066688065339
28,2,4,0.6653996383150418,2.2595199203558405
29,2,5,0.00544199844201405,1.0641723107502998
30,2,6,0.3940990542372067,1.3245007365012342
31,2,7,0.0403990795214971,0.1666801834359778
32,2,8,0.04007514317830399,-0.02351692474234015
33,2,9,0.09469622870286304,0.2836492188147939
34,2,10,0.10124799609184264,0.5134635063667526
35,2,11,0.44299688935279846,0.8552123996277085
36,2,12,0.3078109920024872,0.3078109920024872
37,3,1,0.40489560365676885,1.0624327144015788
38,3,2,0.3491755127906799,0.98216343591553
39,3,3,0.3597162961959839,1.007238945471755
40,3,4,0.41671785712242126,0.918164377580712
41,3,5,0.3168632984161377,0.8002869319586026
42,3,6,0.3358614742755889,0.8017403607381863
43,3,7,0.35715634624163306,0.8856443149396156
44,3,8,0.3752266267935434,0.9250466730435096
45,3,9,0.3371109167734782,0.8738397889876192
46,3,10,0.49582192301750183,0.8988347747116288
47,3,11,0.4326017200946808,0.8356145717888077
48,3,12,1.059687256813049,1.059687256813049
49,4,1,0.15327935914198554,0.31131388303412294
50,4,2,0.1416017363468806,0.3534302442335289
51,4,3,0.14298991362253824,0.3417628925063428
52,4,4,0.18879089752833045,0.4355632061215125
53,4,5,0.1621214176217715,0.409400008332848
54,4,6,-0.05475751807292305,-0.146029713907409
55,4,7,0.1330244888861974,0.3638873241885905
56,4,8,0.13413343330224353,0.3402442261474256
57,4,9,0.12460165222485856,0.31832940661134107
58,4,10,0.17340102791786194,0.38025627448942073
59,4,11,0.14457929134368896,0.35143453791524776
60,4,12,0.3769295811653137,0.3769295811653137
61,5,1,0.276371568441391,0.40100604333222895
62,5,2,0.17758186161518094,0.5906517699283305
63,5,3,0.15960605442523954,0.5336981692277933
64,5,4,0.5759985422094662,1.0427436709723945
65,5,5,-0.01992807040611902,0.14893509880887912
66,5,6,0.22595665355523428,0.32285829615096573
67,5,7,0.11034544557332993,0.3396475582145563
68,5,8,0.3962617367506027,0.6649805510617433
69,5,9,0.059405080974102,0.3165878033886676
70,5,10,0.07639917731285092,0.10248889283084908
71,5,11,0.06196749210357669,0.08805720762157483
72,5,12,0.2518716156482696,0.2518716156482696
73,6,1,0.29895150661468506,0.9389885604174216
74,6,2,0.25733417272567743,0.7576228053395635
75,6,3,0.2773240804672241,0.8707560680598598
76,6,4,0.03310640652974446,0.10454882271456592
77,6,5,0.3350176115830739,0.8342011924124343
78,6,6,0.1893652578194936,0.4787327599356931
79,6,7,0.26307840148607886,0.7515272830320159
80,6,8,0.2766899267832438,0.6555656090625799
81,6,9,0.2577964166800181,0.7200010509655456
82,6,10,0.22046846151351923,0.31796600470618674
83,6,11,-0.03806969523429876,0.05942784795836878
84,6,12,0.754493772983551,0.754493772983551
85,7,1,0.21669888496398929,0.31427149427524975
86,7,2,0.19483518600463867,0.40569414380128466
87,7,3,0.1912153363227844,0.2897594691644216
88,7,4,0.358626735707124,0.8042309500291349
89,7,5,0.15573347856601075,0.4384755709244651
90,7,6,0.0256653179725011,0.39561399241288897
91,7,7,0.2423596978187561,0.7232601669150515
92,7,8,0.1854139044880867,0.437122516781508
93,7,9,0.16211264580488205,0.40391259432538895
94,7,10,0.2855205684900284,0.4324074050528255
95,7,11,0.18315504491329196,0.33004188147608904
96,7,12,0.562445342540741,0.562445342540741
97,8,1,0.373168001572291,0.7760473477355614
98,8,2,0.1908639098207156,0.4022270610400913
99,8,3,0.04024414966503779,0.12792777093585295
100,8,4,0.47498370955387753,1.0015432451847712
101,8,5,0.13853571067253745,0.4703272348872519
102,8,6,0.16367215911547342,0.5378036067968238
103,8,7,0.20014754931132,0.31108883121527187
104,8,8,0.19945202271143592,0.4463874870271549
105,8,9,0.1769127051035563,0.4136824770315648
106,8,10,0.13242331892251968,0.2547749603390155
107,8,11,0.1009600535035133,0.2233116949200091
108,8,12,0.5520769357681274,0.5520769357681274
109,9,1,0.3062069614728292,0.7177671885705561
110,9,2,0.26406486829121906,0.73031928258740475
111,9,3,0.2801888187726339,0.7413521940688589
112,9,4,0.096935272216796875,0.3146688794080381
113,9,5,0.20961469411849976,0.5496976791431994
114,9,6,0.2537240982055664,0.598785149060921
115,9,7,0.2641157309214274,0.518053899482025
116,9,8,0.27168656388918555,0.5259696408533387
117,9,9,0.25218028823534644,0.5191135148142073
118,9,10,0.0380823314189911,0.12014023082013034
119,9,11,0.14269599318504328,0.22475389258618253
120,9,12,0.7531113624572754,0.7531113624572754
121,10,1,0.2246249814828237,0.3964311774756087
122,10,2,0.18243398269017536,0.3446216583444331
123,10,3,0.1925724645455678,0.3754252104686794
124,10,4,0.45272565384705865,0.7514636280310178
125,10,5,0.17176342507203418,0.40873342336549906
126,10,6,0.1469347377618154,0.411815334102418
127,10,7,0.0997670342524846,0.2501519770319375
128,10,8,0.38913606603940326,0.6372581044695308
129,10,9,0.08927917977174123,0.23189688625311983
130,10,10,0.13409034907817835,0.24405039938277648
131,10,11,0.21803955733776093,0.327999607642359
132,10,12,0.5307201743125916,0.5307201743125916
133,11,1,0.4078246752421061,0.7403754042918135
134,11,2,0.354484478632609,0.688784780033605
135,11,3,0.3802135388056437,0.7266126787964516
136,11,4,0.4093105892340342,0.90510308694828
137,11,5,0.3021009961764018,0.7962663674626703
138,11,6,0.318480263153712,0.8142413578558283
139,11,7,0.35374029477437335,0.8492730249425943
140,11,8,0.380025287469228,0.8796472891086224
141,11,9,0.34521498282750446,0.8003626143812983
142,11,10,0.4699743390083313,0.8394242163962917
143,11,11,0.40190136432647705,0.7713512417144375
144,11,12,1.0222686529159546,1.0222686529159546
145,12,1,0.5150721669197084,1.2853141339963825
146,12,2,0.49239820241928095,1.2623604885764168
147,12,3,0.4914201498031616,1.2594134793620395
148,12,4,-0.08322965105374652,-0.2738590988690026
149,12,5,-0.20971577366193123,-0.41069614644464103
150,12,6,0.4080073634783426,0.9464073316571628
151,12,7,0.4905915061632792,1.6954785062087163
152,12,8,0.49078957239786786,1.9649121006879973
153,12,9,0.4522586862246195,1.638809499607588
154,12,10,0.6255594193935395,1.1579323814822082
155,12,11,0.5693830549716948,1.1017560170603633
156,12,12,1.4016704559326172,1.4016704559326172
157,13,1,0.21133822202682492,0.4968961302705524
158,13,2,0.19331422448158261,0.4510680565822703
159,13,3,0.20048704743385315,0.4658107322116752
160,13,4,0.10334669550259906,0.35985486629645563
161,13,5,0.31721309324105573,0.6294731945877172
162,13,6,0.3450546016295751,0.6638536750351052
163,13,7,0.1908080478509267,0.4509727235517774
164,13,8,0.198861022790273,0.4679506810243396
165,13,9,0.1918027301629384,0.45942524369899834
166,13,10,0.24928127229213712,0.4471200446480712
167,13,11,0.2218202501535416,0.4196590225094758
168,13,12,0.542661190032959,0.542661190032959
169,14,1,0.295530100663503,0.7405982177245816
170,14,2,0.26431705554326373,0.7251965051214717
171,14,3,0.2612915833791096,0.6911684575698829
172,14,4,0.3089721798896789,0.6616235325035601
173,14,5,0.2006799280643463,0.5532870714655127
174,14,6,0.24959734082221985,0.5784289665195286
