observation_id,example_idx,concept_index,raw_ce,adjusted_ce
1,0,1,0.03940167340139546,0.02144815488671722
2,0,2,0.00911989311377206,0.01370848383585536
3,0,3,0.04055914717415966,0.02088159424437366
4,0,4,0.5743981438378493,0.8454833015984904
5,0,5,0.4729894871513049,0.8307191146773357
6,0,6,0.4223464416960875,0.8069328427456298
7,0,7,0.02694404373566308,0.03110907057872982
8,0,8,0.01125434289375938,0.01581655634554901
9,0,9,0.01155771935979523,0.01404098575350125
10,0,10,0.05454025045037265,0.02193621592887629
11,0,11,0.02856477722525595,-0.0040392572962404
12,0,12,0.0272276662290096,0.0272276662290096
13,1,1,0.03540507828195889,0.01854639480088856
14,1,2,0.0021129095305999,-0.03587013136519992
15,1,3,0.0712288462867339,0.06445244439650043
16,1,4,0.30940532435973483,0.6983898400296848
17,1,5,0.3935131163646778,0.7775107239017871
18,1,6,0.31464585599799944,0.646239207430923
19,1,7,0.02113003656268117,0.01918678062781851
20,1,8,0.03775223903357982,0.04236588669234369
21,1,9,0.00490094535052772,-0.01784404798735444
22,1,10,0.04576772451400755,0.06709585707568738
23,1,11,0.02778282016515725,0.04911095272683707
24,1,12,0.0217184107750654,0.0217184107750654
25,2,1,0.2490346717337767,0.2697816517126153
26,2,2,-0.2652640951176485,-0.26512246985401877
27,2,3,0.14952470610539115,0.16160218646755947
28,2,4,0.3818147579828898,0.8426988844699173
29,2,5,0.649835745493571,0.953869411626924
30,2,6,0.5569018522898355,0.8071539648103283
31,2,7,0.03501195833086962,0.03557742602585413
32,2,8,0.03756370209157468,0.04075614332028536
33,2,9,0.09383410029113289,0.08039310997006882
34,2,10,0.22913235425949097,0.2673382127869042
35,2,11,0.4250999689102173,0.4633058274376305
36,2,12,0.0391735956072807,0.0391735956072807
37,3,1,0.19120577226082483,0.19323960365479556
38,3,2,0.07537374893824259,0.13068973691118707
39,3,3,0.4254809493819872,0.5107162480299391
40,3,4,0.07163751125335689,0.1523897919049239
41,3,5,0.6622769832611085,0.7171281103578813
42,3,6,0.31365644931793224,0.2673578763999382
43,3,7,0.2575880413254102,0.3216278135359883
44,3,8,0.16572513928016025,0.22588082207859908
45,3,9,0.18608184655507404,0.2543493669639561
46,3,10,0.3612410575151443,0.5168537866094606
47,3,11,0.3623667806386947,0.517979509733011
48,3,12,0.1715156584978103,0.1715156584978103
49,4,1,0.0295986592148741,0.00695361872445152
50,4,2,0.0213465088357528,0.01416231820799191
51,4,3,0.0297316856061419,0.0214834952667835
52,4,4,0.4945151718954244,0.6458155792195331
53,4,5,0.5399705829719702,0.6896475786635085
54,4,6,0.5081556464234988,0.6718996943138844
55,4,7,0.05359231432278948,0.06684522811772797
56,4,8,-0.02442066247264545,-0.03998587266358845
57,4,9,0.03636322294672328,0.03880536008702019
58,4,10,0.04610363580286499,0.06047096161375612
59,4,11,0.0288931932300329,0.04326051904092403
60,4,12,0.0275316331535577,0.0275316331535577
61,5,1,0.15479660996546343,0.2276858680187485
62,5,2,-0.26867008643845713,-0.36466409425018653
63,5,3,0.19066985168804723,0.2606934508801183
64,5,4,-0.03846372167269389,0.525699839793704
65,5,5,0.9076341440280278,1.4703874432270063
66,5,6,0.5317517568667729,1.0265394491700648
67,5,7,0.03333099403729039,0.05742096591491499
68,5,8,-0.02956900993982949,-0.03790618423825245
69,5,9,0.05844324485709268,0.0845346562344273
70,5,10,0.43989142775535583,0.5283380583085036
71,5,11,-0.06968921422958374,0.01875741632356403
72,5,12,0.0242051221430301,0.0242051221430301
73,6,1,0.06137550342828037,0.04506839195343199
74,6,2,0.01817520707845686,-0.01753509782143651
75,6,3,0.05683644395321606,0.03869371942760689
76,6,4,0.02108378956715265,0.6181147007446985
77,6,5,0.10552707935372985,0.7399013535519974
78,6,6,0.8443495693306127,1.2354520469352823
79,6,7,0.03346340917050838,0.02200756927470006
80,6,8,0.03401354234665628,0.05492484266140933
81,6,9,0.03839708026498553,0.02713799367041409
82,6,10,0.19237748719751835,0.14103384474517577
83,6,11,0.16952778957784176,0.11818414712549918
84,6,12,0.0250442028045654,0.0250442028045654
85,7,1,0.02090729027986522,0.01917204423176637
86,7,2,0.12739957123994827,0.1574377581532213
87,7,3,0.12526585161685944,0.1498892198134858
88,7,4,-0.022521760314703,0.13864945482209237
89,7,5,1.2177115008234978,1.4624178182572338
90,7,6,-0.01082101091742517,0.16940022925361578
91,7,7,0.02378343573460973,0.03261389567605151
92,7,8,0.04269557601461808,0.04600748632483949
93,7,9,-0.01578479570647081,-0.00992528915031389
94,7,10,0.08107626810669895,0.08806488659952014
95,7,11,0.02502859756350514,0.03201721605632633
96,7,12,0.0270174052566289,0.0270174052566289
97,8,1,0.1763665812710921,0.17557191858773158
98,8,2,-0.20934917529424035,-0.15832854106997843
99,8,3,0.14043708021442097,0.154990654837604
100,8,4,0.05771138394872339,0.01817024760771326
101,8,5,0.6221270902703205,0.5094472488547521
102,8,6,0.586544696862499,0.5003225647742998
103,8,7,0.05745036030809085,0.06023359093025964
