example_idx,atomic_faithfulness,joint_faithfulness
0,0.17513811588287354,0.23261496424674988
1,0.17510709166526794,0.2969946563243866
2,0.31852322816848755,0.25311172008514404
3,0.2972523272037506,0.2336709350347519
4,0.3628024160861969,0.2720814049243927
5,0.24899879097938538,0.32110804319381714
6,0.23109661042690277,0.2671829164028168
7,0.15917429327964783,0.17206205427646637
8,0.23555274307727814,0.21516993641853333
9,0.19396470487117767,0.13954214751720428
10,0.2565850019454956,0.19547520577907562
11,0.26884591579437256,0.1351684182882309
12,0.32741233706474304,0.2995081841945648
13,0.2495139092206955,0.29457440972328186
14,0.326864629983902,0.25325483083724976
15,0.17150861024856567,0.2289646714925766
16,0.33812618255615234,0.322506844997406
17,0.32150501012802124,0.2259906679391861
18,0.18855367600917816,0.27752217650413513
19,0.25126245617866516,0.24270258843898773
20,0.2137089967727661,0.2904105484485626
21,0.13190074265003204,0.30025923252105713
22,0.24889881908893585,0.05256675183773041
23,0.38467586040496826,0.31331250071525574
24,0.26864093542099,0.2022465318441391
25,0.33704113960266113,0.3110339343547821
26,0.23123429715633392,0.22430136799812317
27,0.24453133344650269,0.19333575665950775
28,0.20253857970237732,0.22224585711956024
29,0.24770841002464294,0.29260995984077454
