example_idx,atomic_ce,interaction_ce
0,0.3626548945903778,0.4684136274775551
1,0.28482001771529514,0.2435340014466364
2,0.6320023077229658,0.6623981809928712
3,0.9433995534976324,0.9208911788625496
4,0.338444118698438,0.31971015590319046
5,0.3622157884140809,0.40029388976552105
6,0.6577085728446642,0.6036526481323155
7,0.4389314092695713,0.46143629397492075
8,0.3933945794900258,0.4597665544067914
9,0.627319316069285,0.5261444094876782
10,0.43837117155392963,0.4092139650733309
11,0.9485340118408203,0.8194758929039873
12,1.2636693269014359,1.0857915957714874
13,0.4652417923013369,0.4878954633707831
14,0.6971678584814072,0.676545351333394
15,0.479417085647583,0.4786041457764049
16,0.42750082165002823,0.47478944898927616
17,0.565281055867672,0.5742369628762878
18,0.36394238968690235,0.471647984156644
19,0.4407754875719547,0.4948366018224249
20,0.3243523066242536,0.3676375421710108
21,0.4947009632984797,0.48592891376344227
22,0.5682501004387935,0.5624388309181609
23,0.34016166999936104,0.35509863358336474
24,0.20277938308815158,0.3558824999285738
25,0.4994575008749962,0.44696130714307697
26,0.5711373786131541,0.5210070194058907
27,0.328646736840407,0.31818768461306723
28,0.3854018151760101,0.4752269023160618
29,0.5823649267355601,0.6140611135580983
