example_idx,concept_count,atomic_ce,interaction_ce,marker_size
0,12,0.3626548945903778,0.4684136274775551,1.862435565298214
1,12,0.28482001771529514,0.2435340014466364,1.862435565298214
2,12,0.6320023077229658,0.6623981809928712,1.862435565298214
3,12,0.9433995534976324,0.9208911788625496,1.862435565298214
4,12,0.338444118698438,0.31971015590319046,1.862435565298214
5,12,0.3622157884140809,0.40029388976552105,1.862435565298214
6,12,0.6577085728446642,0.6036526481323155,1.862435565298214
7,12,0.4389314092695713,0.46143629397492075,1.862435565298214
8,12,0.3933945794900258,0.4597665544067914,1.862435565298214
9,12,0.627319316069285,0.5261444094876782,1.862435565298214
10,12,0.43837117155392963,0.4092139650733309,1.862435565298214
11,12,0.9485340118408203,0.8194758929039873,1.862435565298214
12,12,1.2636693269014359,1.0857915957714874,1.862435565298214
13,12,0.4652417923013369,0.4878954633707831,1.862435565298214
14,12,0.6971678584814072,0.676545351333394,1.862435565298214
15,12,0.479417085647583,0.4786041457764049,1.862435565298214
16,12,0.42750082165002823,0.47478944898927616,1.862435565298214
17,12,0.565281055867672,0.5742369628762878,1.862435565298214
18,12,0.36394238968690235,0.471647984156644,1.862435565298214
19,12,0.4407754875719547,0.4948366018224249,1.862435565298214
20,12,0.3243523066242536,0.3676375421710108,1.862435565298214
21,12,0.4947009632984797,0.48592891376344227,1.862435565298214
22,12,0.5682501004387935,0.5624388309181609,1.862435565298214
23,12,0.34016166999936104,0.35509863358336474,1.862435565298214
24,12,0.20277938308815158,0.3558824999285738,1.862435565298214
25,12,0.4994575008749962,0.44696130714307697,1.862435565298214
26,12,0.5711373786131541,0.5210070194058907,1.862435565298214
27,12,0.328646736840407,0.31818768461306723,1.862435565298214
28,12,0.3854018151760101,0.4752269023160618,1.862435565298214
29,12,0.5823649267355601,0.6140611135580983,1.862435565298214
