dataset,row_category,column_category,co_grouped_pairs,eligible_pairs,co_grouping_percent
medqa,Vitals & anthropometrics,Diagnostic tests,2,20,10.000000
medqa,Vitals & anthropometrics,"Family, social & lifestyle",0,51,0.000000
medqa,Vitals & anthropometrics,Imaging,1,29,3.448276
medqa,Vitals & anthropometrics,Laboratory & pathology,3,141,2.127660
medqa,Vitals & anthropometrics,Medical history,1,49,2.040816
medqa,Vitals & anthropometrics,Medication & adherence,1,33,3.030303
medqa,Vitals & anthropometrics,Mental health & cognition,3,23,13.043478
medqa,Vitals & anthropometrics,Neurologic function,2,28,7.142857
medqa,Vitals & anthropometrics,Physical examination,10,64,15.625000
medqa,Vitals & anthropometrics,Reproductive history,0,46,0.000000
medqa,Vitals & anthropometrics,"Risk, exposure & trauma",0,11,0.000000
medqa,Vitals & anthropometrics,Symptoms,2,113,1.769912
medqa,Vitals & anthropometrics,Timing & course,1,27,3.703704
medqa,Vitals & anthropometrics,Treatment & response,3,31,9.677419
medqa,Vitals & anthropometrics,Vitals & anthropometrics,13,39,33.333333
